3962	14	3927	1926-##-##	1929-##-##
8833	17	8612	2010-##-##	2010-##-##
1324	1	129	1790-##-##	1871-##-##
5321	15	4973	####-##-##	2015-##-##
10931	22	9893	2002-##-##	2002-##-##
3188	12	2032	1965-##-##	1992-##-##
4668	14	3819	2016-##-##	2017-##-##
11723	22	10069	1968-##-##	1969-##-##
1431	1	1432	1954-##-##	2010-##-##
7928	20	7929	1996-##-##	1996-##-##
6480	20	6780	1956-##-##	1956-##-##
4761	14	3578	1999-##-##	2001-##-##
9441	21	9457	1996-##-##	1996-##-##
9390	20	7119	1987-##-##	1987-##-##
11830	22	10642	1998-##-##	1998-##-##
11803	22	10022	1996-##-##	1998-##-##
1185	1	953	1790-##-##	1871-##-##
3931	14	3925	2000-##-##	2001-##-##
430	1	159	1968-##-##	####-##-##
1665	1	125	1920-##-##	####-##-##
12427	22	9735	2008-##-##	2011-##-##
5446	16	5447	2000-##-##	2000-##-##
12265	22	10328	1995-##-##	2009-##-##
1213	1	122	1790-##-##	1871-##-##
5850	17	8149	2014-##-##	2014-##-##
167	1	159	1968-##-##	####-##-##
3231	12	29	####-##-##	1991-##-##
8980	17	8186	1988-##-##	1988-##-##
2504	9	2505	1947-##-##	1948-##-##
8605	20	6322	1991-##-##	1991-##-##
6303	17	6304	1985-##-##	1985-##-##
3535	14	3457	2005-##-##	2010-##-##
7023	17	6220	2006-##-##	2006-##-##
1998	15	4990	1947-##-##	####-##-##
135	18	534	####-##-##	2015-##-##
2334	8	2335	1996-##-##	####-##-##
53	0	54	####-##-##	2015-##-##
12430	22	11003	1987-##-##	1987-##-##
3330	13	3247	1966-##-##	####-##-##
3166	17	6601	1980-##-##	1980-##-##
8563	17	6115	1967-##-##	1967-##-##
4978	15	4973	####-##-##	2012-##-##
9048	17	6841	1940-##-##	1940-##-##
12076	22	10656	2011-##-##	2012-##-##
8367	20	5762	1962-##-##	1962-##-##
11094	22	9867	2009-##-##	2012-##-##
1785	3	1776	####-##-##	2007-##-##
3254	13	3255	1966-##-##	####-##-##
6908	17	6910	1988-##-##	1988-##-##
4957	14	4958	1933-##-##	1937-##-##
4389	14	4011	1911-##-##	1919-##-##
12246	22	9716	2005-##-##	2005-##-##
251	1	125	1790-##-##	1871-##-##
5101	15	4971	2017-##-##	####-##-##
5633	17	8317	2014-##-##	2014-##-##
2259	8	2260	1958-##-##	1974-##-##
7123	17	5818	2015-##-##	####-##-##
638	1	639	####-##-##	2015-##-##
2209	7	2210	2010-##-##	2014-##-##
3844	14	3760	1855-##-##	1856-##-##
8566	17	7116	2006-##-##	2006-##-##
4216	14	3921	2014-##-##	####-##-##
9536	21	9488	2008-##-##	2008-##-##
7990	17	7991	1965-##-##	1965-##-##
10840	22	9858	2012-##-##	2012-##-##
5755	16	5759	1993-##-##	1993-##-##
781	1	148	1790-##-##	1968-##-##
1369	1	129	1920-##-##	####-##-##
2173	6	2175	2002-##-##	####-##-##
3344	13	3255	1924-##-##	####-##-##
3182	11	3095	1973-##-##	####-##-##
5225	15	4973	####-##-##	2015-##-##
699	1	122	1790-##-##	1871-##-##
2681	14	4880	1792-##-##	1795-##-##
12450	22	12043	1994-##-##	1995-##-##
8630	17	8631	1997-##-##	1997-##-##
5237	15	4971	2016-##-##	####-##-##
4193	14	4194	2014-##-##	2017-##-##
6356	20	6039	1959-##-##	1959-##-##
2354	8	2355	1982-##-##	####-##-##
4707	14	4708	1959-##-##	1962-##-##
11397	22	10040	1994-##-##	1995-##-##
5755	16	5759	1997-##-##	1997-##-##
9071	17	6990	1996-##-##	1996-##-##
8110	20	8112	2001-##-##	2001-##-##
2692	9	2476	1806-##-##	####-##-##
9456	21	9451	1944-##-##	1944-##-##
3754	14	3737	1886-##-##	1890-##-##
4951	14	3800	1976-##-##	1982-##-##
6164	17	8900	1990-##-##	1990-##-##
8784	17	7749	1968-##-##	1968-##-##
1576	1	419	####-##-##	2015-##-##
5299	15	4973	####-##-##	2015-##-##
4192	14	3805	2015-##-##	####-##-##
11813	22	10096	2008-##-##	2011-##-##
5553	16	5559	1987-##-##	1987-##-##
12100	22	9712	1951-##-##	1952-##-##
271	1	272	1927-##-##	1962-##-##
7571	17	7572	2004-##-##	2004-##-##
5665	16	5675	2002-##-##	2002-##-##
12298	22	9602	2011-##-##	2011-##-##
6176	23	2566	1897-##-##	####-##-##
9860	22	9863	2001-##-##	####-##-##
11111	22	10783	2003-##-##	2003-##-##
4539	14	3444	1949-##-##	1951-##-##
8766	17	6706	1980-##-##	1980-##-##
722	1	1072	####-##-##	1932-##-##
1551	1	125	1790-##-##	1871-##-##
6041	17	7583	2009-##-##	2009-##-##
881	1	866	2015-##-##	####-##-##
9422	20	6328	2006-##-##	2006-##-##
10352	22	10353	2014-##-##	2014-##-##
6773	17	6778	2013-##-##	2013-##-##
12330	22	10091	2006-##-##	2007-##-##
2343	8	2342	2005-##-##	####-##-##
6684	17	5934	1996-##-##	1996-##-##
11351	22	10168	2011-##-##	####-##-##
1118	1	528	####-##-##	2005-##-##
4409	14	3458	2001-##-##	2005-##-##
5765	16	5630	2010-##-##	2010-##-##
2738	9	2505	1978-##-##	####-##-##
8856	17	6249	2013-##-##	2013-##-##
77	1	631	1972-##-##	####-##-##
10820	22	9557	2011-##-##	2016-##-##
1275	1	129	1790-##-##	1871-##-##
6548	17	6549	2005-##-##	2005-##-##
6203	17	5915	2005-##-##	2005-##-##
1147	1	953	1790-##-##	1871-##-##
12259	22	10643	1996-##-##	1997-##-##
8000	20	9318	1965-##-##	1965-##-##
762	1	28	1936-##-##	1991-##-##
11271	22	9880	1998-##-##	1999-##-##
546	1	540	####-##-##	2009-##-##
2024	15	5145	1972-##-##	1983-##-##
749	1	750	2016-##-##	####-##-##
5236	15	4973	####-##-##	2016-##-##
4417	14	3496	1989-##-##	1995-##-##
7352	20	9251	1998-##-##	1998-##-##
1869	4	1833	1977-##-##	1977-##-##
1546	15	4983	####-##-##	2014-##-##
7755	17	6408	1988-##-##	1988-##-##
8920	20	6253	2008-##-##	2008-##-##
8206	17	8208	1965-##-##	1965-##-##
3412	13	3269	1976-##-##	####-##-##
8938	20	6937	1972-##-##	1972-##-##
1983	5	1984	1992-##-##	####-##-##
6525	22	10279	1997-##-##	1999-##-##
5402	16	5405	1968-##-##	1968-##-##
8413	17	6403	1922-##-##	1922-##-##
1707	2	1671	1986-##-##	####-##-##
1640	1	125	1920-##-##	####-##-##
5370	16	5376	1992-##-##	1992-##-##
212	1	190	2015-##-##	####-##-##
10336	22	9787	1999-##-##	2001-##-##
1903	10	3017	1996-##-##	2011-##-##
8648	17	5815	2007-##-##	2007-##-##
6783	17	5988	1946-##-##	1946-##-##
11710	22	10709	2001-##-##	2008-##-##
3816	14	3817	1997-##-##	1998-##-##
2286	8	2287	1960-##-##	2006-##-##
7370	17	7371	2002-##-##	2002-##-##
11434	22	10246	1998-##-##	2000-##-##
7223	17	5815	1960-##-##	1960-##-##
2941	23	12510	####-##-##	1967-##-##
1614	15	4982	####-##-##	2014-##-##
12033	22	10890	2000-##-##	2001-##-##
7835	20	6162	2001-##-##	2001-##-##
4052	14	3444	1969-##-##	1988-##-##
12266	22	5472	2016-##-##	####-##-##
11326	22	9629	2008-##-##	2011-##-##
12351	22	10597	2013-##-##	2013-##-##
7177	17	5899	1996-##-##	1996-##-##
12060	22	10463	2003-##-##	2005-##-##
11207	22	9630	2008-##-##	2009-##-##
4941	14	3652	2009-##-##	2011-##-##
12120	22	10087	2003-##-##	2004-##-##
3633	14	3473	1997-##-##	2001-##-##
104	0	107	1777-##-##	1927-##-##
9616	22	9618	1986-##-##	1990-##-##
11434	22	10296	2009-##-##	2010-##-##
5339	15	4973	####-##-##	2016-##-##
6898	17	6899	1970-##-##	1970-##-##
8056	20	7097	2010-##-##	2010-##-##
7641	17	7611	1958-##-##	1958-##-##
4696	23	12504	1972-##-##	1974-##-##
2765	9	2486	1960-##-##	####-##-##
8029	17	7954	2010-##-##	2010-##-##
1332	1	129	1790-##-##	1871-##-##
3414	17	5809	1776-##-##	1776-##-##
9063	17	6182	1995-##-##	1995-##-##
7876	17	5866	2012-##-##	2012-##-##
561	1	95	####-##-##	2015-##-##
8733	17	6976	2014-##-##	2014-##-##
146	1	122	1790-##-##	1871-##-##
10610	22	10256	2008-##-##	2009-##-##
3185	17	6697	1927-##-##	1927-##-##
10924	22	10926	2012-##-##	2014-##-##
8414	19	169	1741-##-##	1766-##-##
8768	17	8655	1998-##-##	1998-##-##
8992	17	8994	1990-##-##	1990-##-##
140	1	123	1871-##-##	####-##-##
1397	1	159	1968-##-##	####-##-##
669	1	483	2005-##-##	2016-##-##
857	1	580	2009-##-##	####-##-##
9141	18	1076	####-##-##	2015-##-##
4496	14	3724	2011-##-##	2016-##-##
10206	22	9727	2002-##-##	2006-##-##
11013	22	10112	2007-##-##	2008-##-##
1818	3	1776	####-##-##	1962-##-##
12389	22	11596	2000-##-##	2006-##-##
2352	8	2353	####-##-##	1959-##-##
9928	22	9929	1997-##-##	1998-##-##
2587	9	2476	1832-##-##	####-##-##
6973	17	6974	1989-##-##	1989-##-##
2118	6	2027	1945-##-##	####-##-##
3611	14	3612	1904-##-##	1909-##-##
5985	17	5979	2004-##-##	2004-##-##
4869	14	3785	1796-##-##	1811-##-##
5722	16	5561	1991-##-##	1991-##-##
753	18	752	####-##-##	2014-##-##
2974	17	6564	1989-##-##	1989-##-##
5193	15	5113	1981-##-##	####-##-##
11723	22	10714	1978-##-##	1980-##-##
5106	15	4982	####-##-##	2014-##-##
7378	20	9257	2006-##-##	2006-##-##
4015	14	4321	1994-##-##	2000-##-##
6575	22	11098	1933-##-##	1948-##-##
83	1	809	1917-##-##	1921-##-##
3831	14	3832	1899-##-##	1901-##-##
8749	20	7301	1961-##-##	1961-##-##
4179	14	4180	2016-##-##	####-##-##
1136	1	239	2015-##-##	####-##-##
8204	17	8205	1978-##-##	1978-##-##
169	7	2201	1984-##-##	1989-##-##
3740	14	3742	1951-##-##	1953-##-##
9027	17	5916	1952-##-##	1952-##-##
3046	23	2928	####-##-##	1945-##-##
7481	20	7482	1997-##-##	1997-##-##
8321	17	6016	1981-##-##	1981-##-##
11013	22	9971	2006-##-##	2006-##-##
4622	14	3498	2001-##-##	2008-##-##
3622	14	3509	1851-##-##	1852-##-##
5014	15	4973	####-##-##	2015-##-##
8375	17	8377	1995-##-##	1995-##-##
4	1	627	1923-##-##	1930-##-##
2751	17	7538	1973-##-##	1973-##-##
8445	17	7461	1955-##-##	1955-##-##
1851	10	3013	1918-##-##	1920-##-##
2838	9	2839	2001-##-##	####-##-##
811	1	416	####-##-##	2014-##-##
1343	1	129	1790-##-##	1871-##-##
12	1	14	1796-##-##	1929-##-##
7195	23	12531	####-##-##	1961-##-##
776	1	493	####-##-##	1997-##-##
8710	20	8355	2006-##-##	2006-##-##
5504	17	6314	2007-##-##	2007-##-##
2644	10	2924	1831-##-##	1855-##-##
9269	20	6706	1925-##-##	1925-##-##
8134	17	7900	2004-##-##	2004-##-##
8532	17	8533	2004-##-##	2004-##-##
1042	18	435	1871-##-##	####-##-##
423	1	295	2015-##-##	####-##-##
8918	20	8919	2009-##-##	2009-##-##
6340	17	6342	1995-##-##	1995-##-##
8445	17	6905	1992-##-##	1992-##-##
11587	22	2157	1965-##-##	1967-##-##
7555	20	6163	1956-##-##	1956-##-##
7397	17	7267	1972-##-##	1972-##-##
5335	15	4973	####-##-##	2015-##-##
4330	14	4261	1125-##-##	1152-##-##
11373	22	9802	1972-##-##	1973-##-##
8346	17	7338	1958-##-##	1958-##-##
5221	15	4973	####-##-##	2015-##-##
7704	17	5999	1990-##-##	1990-##-##
2807	20	5762	1922-##-##	1922-##-##
9286	20	8620	2011-##-##	2011-##-##
11477	22	10030	1968-##-##	1974-##-##
450	1	148	1790-##-##	1968-##-##
6010	17	6016	1984-##-##	1984-##-##
8545	17	8546	1980-##-##	1980-##-##
3517	14	3435	1976-##-##	1980-##-##
4712	14	3444	1969-##-##	1977-##-##
1652	1	1512	####-##-##	2015-##-##
5209	15	4973	####-##-##	2016-##-##
12177	22	11107	2010-##-##	2014-##-##
6509	17	5819	1881-##-##	1881-##-##
5411	16	5523	1988-##-##	1988-##-##
6075	17	6076	2003-##-##	2003-##-##
3525	14	3518	1982-##-##	1987-##-##
344	1	123	1871-##-##	####-##-##
981	1	294	####-##-##	2015-##-##
7704	17	5918	1980-##-##	1980-##-##
11653	22	10952	2008-##-##	2009-##-##
12150	22	5584	2005-##-##	2009-##-##
8436	17	6338	1970-##-##	1970-##-##
4040	14	3777	685-##-##	695-##-##
11639	22	9890	1932-##-##	1934-##-##
8030	17	8031	2011-##-##	2011-##-##
1012	1	736	1990-##-##	####-##-##
3607	14	3609	1963-##-##	1965-##-##
1042	18	1441	1871-##-##	####-##-##
2764	9	2486	1974-##-##	####-##-##
11559	22	10215	2007-##-##	2007-##-##
12209	22	9959	2006-##-##	2007-##-##
9102	17	5873	1732-##-##	1732-##-##
2656	14	3450	2013-##-##	####-##-##
3795	14	3797	1939-##-##	1955-##-##
9407	20	8233	1997-##-##	1997-##-##
1036	1	1027	####-##-##	2015-##-##
7722	17	7196	2011-##-##	2011-##-##
513	1	362	2015-##-##	####-##-##
5722	16	5566	2008-##-##	2008-##-##
7344	21	9471	1933-##-##	1933-##-##
3705	14	3431	1958-##-##	1962-##-##
10821	22	9561	2004-##-##	2006-##-##
2777	9	2505	1909-##-##	1918-##-##
5169	15	4971	2016-##-##	####-##-##
5977	17	5981	2011-##-##	2011-##-##
8821	17	5858	2004-##-##	2004-##-##
5830	17	5832	2006-##-##	2006-##-##
4855	14	4856	1306-##-##	1306-##-##
8985	17	8986	1964-##-##	1964-##-##
9016	17	6136	1968-##-##	1968-##-##
4888	14	3458	2001-##-##	2005-##-##
1706	2	1671	1997-##-##	####-##-##
5729	16	5732	2013-##-##	2013-##-##
9062	17	8836	1993-##-##	1993-##-##
1059	1	666	2016-##-##	####-##-##
12427	22	10718	2011-##-##	2013-##-##
4058	14	3865	2008-##-##	2008-##-##
6934	17	6935	1960-##-##	1960-##-##
5080	15	4971	2015-##-##	####-##-##
7009	20	7011	2012-##-##	2012-##-##
9864	22	9866	1990-##-##	1991-##-##
3485	14	3487	1700-##-##	1727-##-##
4967	14	4026	1972-##-##	1974-##-##
8464	17	8465	1983-##-##	1983-##-##
12473	22	10193	2004-##-##	2004-##-##
11331	22	9580	2011-##-##	2013-##-##
9403	20	7625	2014-##-##	2014-##-##
1190	1	953	1920-##-##	####-##-##
3644	14	3645	1983-##-##	1995-##-##
11093	22	9859	1997-##-##	2000-##-##
7206	17	6566	1927-##-##	1927-##-##
7865	17	7867	1992-##-##	1992-##-##
3174	17	7153	2007-##-##	2007-##-##
3156	11	3083	1985-##-##	####-##-##
11214	22	10724	2007-##-##	2007-##-##
5541	17	8419	1972-##-##	1972-##-##
1693	2	1694	1994-##-##	####-##-##
2780	9	2781	2014-##-##	####-##-##
1882	11	3123	1984-##-##	####-##-##
8335	17	6653	1970-##-##	1970-##-##
2943	10	2944	1988-##-##	1997-##-##
542	1	1028	2016-##-##	####-##-##
2341	8	2389	1957-##-##	1959-##-##
12354	22	10399	2001-##-##	2001-##-##
1908	4	1833	1969-##-##	1969-##-##
9215	20	9216	2004-##-##	2004-##-##
12475	22	10024	2004-##-##	2006-##-##
690	15	4983	####-##-##	2014-##-##
2723	9	2517	1884-##-##	####-##-##
622	15	4983	####-##-##	2014-##-##
739	15	5092	####-##-##	2014-##-##
1510	1	122	1790-##-##	1871-##-##
7553	20	5762	1922-##-##	1922-##-##
11775	22	11004	2000-##-##	2012-##-##
9162	19	948	1899-##-##	####-##-##
8817	17	6440	1973-##-##	1973-##-##
12214	22	10269	2007-##-##	2009-##-##
10529	22	9601	1998-##-##	1998-##-##
1042	18	160	1871-##-##	####-##-##
9372	20	7803	2001-##-##	2001-##-##
2868	14	3956	2007-##-##	####-##-##
11458	22	10915	1991-##-##	1993-##-##
8046	17	8047	1999-##-##	1999-##-##
1748	2	1671	2007-##-##	####-##-##
6234	17	6237	1889-##-##	1889-##-##
1866	17	7192	1967-##-##	1967-##-##
4662	14	4163	1994-##-##	2000-##-##
5275	15	4973	####-##-##	2016-##-##
11440	22	9976	2008-##-##	2010-##-##
5411	16	5520	1985-##-##	1985-##-##
4565	14	3908	2001-##-##	2011-##-##
4725	23	3073	1984-##-##	1990-##-##
6490	17	5819	1877-##-##	1877-##-##
5246	15	4971	2017-##-##	####-##-##
1661	1	125	1790-##-##	1871-##-##
11617	22	10417	1980-##-##	1981-##-##
955	1	956	1938-##-##	####-##-##
1215	1	1142	1871-##-##	1920-##-##
5930	17	7212	1976-##-##	1976-##-##
9237	20	6012	1911-##-##	1911-##-##
8657	20	9212	2008-##-##	2008-##-##
5069	15	4973	####-##-##	2016-##-##
7679	17	6015	2009-##-##	2009-##-##
8204	23	2989	####-##-##	1965-##-##
4833	14	3811	1901-##-##	1910-##-##
3818	14	3819	1983-##-##	1987-##-##
5265	15	4973	####-##-##	2016-##-##
7500	17	7501	1953-##-##	1953-##-##
976	1	159	1968-##-##	####-##-##
1811	3	1778	2007-##-##	####-##-##
7201	17	7202	2013-##-##	2013-##-##
10568	22	10129	2006-##-##	2010-##-##
1741	2	1671	2001-##-##	####-##-##
11839	22	11840	2015-##-##	####-##-##
5108	15	4987	2009-##-##	####-##-##
11093	22	5655	1996-##-##	1997-##-##
5788	16	5796	2011-##-##	2011-##-##
5431	16	5432	1990-##-##	1990-##-##
4616	14	3457	2005-##-##	2010-##-##
7541	17	7543	2005-##-##	2005-##-##
10584	22	10285	2005-##-##	2005-##-##
4628	14	3821	1999-##-##	2003-##-##
4550	14	4142	1960-##-##	1972-##-##
8191	17	7279	2002-##-##	2002-##-##
2784	17	6165	2009-##-##	2009-##-##
8702	17	6201	1997-##-##	1997-##-##
12436	22	10233	2002-##-##	2003-##-##
4110	14	3733	1897-##-##	1900-##-##
4018	14	4006	2013-##-##	2016-##-##
2133	6	2085	####-##-##	1532-##-##
7406	23	3023	####-##-##	1960-##-##
710	1	123	1871-##-##	####-##-##
7376	17	7377	1953-##-##	1953-##-##
8685	17	6370	2005-##-##	2005-##-##
11351	22	11353	2005-##-##	2005-##-##
10797	22	9563	2006-##-##	2006-##-##
614	1	129	1790-##-##	1871-##-##
3202	22	10385	1987-##-##	1987-##-##
8855	20	6867	2009-##-##	2009-##-##
8322	17	5818	1846-##-##	1846-##-##
5222	15	4971	2016-##-##	####-##-##
10406	22	9783	2000-##-##	2000-##-##
941	1	866	2015-##-##	####-##-##
8879	17	8140	1990-##-##	1990-##-##
4749	14	3793	1858-##-##	1859-##-##
11558	22	9829	2007-##-##	2008-##-##
7818	17	7022	1960-##-##	1960-##-##
1078	1	123	1871-##-##	####-##-##
8560	17	8117	2002-##-##	2002-##-##
8275	17	8279	2013-##-##	2013-##-##
2613	17	6002	2012-##-##	2012-##-##
7794	17	5915	2008-##-##	2008-##-##
8448	17	7506	2010-##-##	2010-##-##
4741	14	3496	2013-##-##	2017-##-##
840	1	679	####-##-##	2014-##-##
12491	22	10882	2008-##-##	2010-##-##
2559	9	2560	1990-##-##	####-##-##
4954	14	3573	1999-##-##	2003-##-##
3344	13	3255	1975-##-##	####-##-##
8954	17	5898	1997-##-##	1997-##-##
8270	17	8271	1999-##-##	1999-##-##
1520	1	148	1790-##-##	1968-##-##
11644	22	10990	2011-##-##	2014-##-##
1584	1	123	1871-##-##	####-##-##
1341	1	1142	1871-##-##	####-##-##
6806	17	6807	1983-##-##	1983-##-##
5504	17	5908	2014-##-##	2014-##-##
623	15	4983	####-##-##	2014-##-##
100	1	101	1938-##-##	####-##-##
12279	22	9600	1926-##-##	1927-##-##
12342	22	9959	2000-##-##	2004-##-##
1373	1	1142	1871-##-##	1920-##-##
1598	1	1596	####-##-##	2014-##-##
11917	22	9941	2007-##-##	2007-##-##
7672	17	6336	2005-##-##	2005-##-##
5204	15	4971	2016-##-##	####-##-##
7545	20	7546	1992-##-##	1992-##-##
3400	13	3247	1985-##-##	####-##-##
2870	9	2871	1992-##-##	1992-##-##
3135	14	4176	1970-##-##	1974-##-##
8926	20	9178	1949-##-##	1949-##-##
8114	17	8115	1984-##-##	1984-##-##
4441	14	3710	1477-##-##	####-##-##
7921	17	7365	1976-##-##	1976-##-##
5157	15	5110	1916-##-##	1984-##-##
8164	17	8165	1995-##-##	1995-##-##
10934	22	9813	2011-##-##	####-##-##
11587	22	10910	1963-##-##	1965-##-##
1569	1	558	1994-##-##	####-##-##
6263	17	6264	2007-##-##	2007-##-##
11719	22	9711	2007-##-##	2010-##-##
8712	17	5453	1972-##-##	1972-##-##
2553	9	2505	1958-##-##	####-##-##
4150	14	4152	2004-##-##	2005-##-##
1048	1	210	1968-##-##	####-##-##
11808	22	10289	2014-##-##	####-##-##
11074	22	9703	2000-##-##	2008-##-##
11365	22	10648	1939-##-##	1940-##-##
2503	9	2482	1932-##-##	1943-##-##
6929	20	6706	1933-##-##	1933-##-##
3264	13	3255	1942-##-##	####-##-##
5850	17	8150	2014-##-##	2014-##-##
6181	17	6182	1996-##-##	1996-##-##
2898	9	2482	1926-##-##	1942-##-##
4718	14	3726	2002-##-##	2015-##-##
7700	17	7398	1983-##-##	1983-##-##
5914	17	5916	2000-##-##	2000-##-##
5045	15	4971	2016-##-##	####-##-##
3746	14	3495	1950-##-##	1976-##-##
11769	22	9708	2006-##-##	2007-##-##
3373	13	3294	1962-##-##	####-##-##
1800	3	1776	####-##-##	1967-##-##
10466	22	9744	1981-##-##	1982-##-##
963	1	210	1968-##-##	####-##-##
9943	22	9947	2010-##-##	2010-##-##
2808	10	2924	1854-##-##	1885-##-##
3633	14	3437	1966-##-##	1970-##-##
7662	17	7651	1987-##-##	1987-##-##
8496	17	6267	1977-##-##	1977-##-##
9425	20	6706	1932-##-##	1932-##-##
5496	22	9923	1990-##-##	1992-##-##
8641	17	8343	1930-##-##	1930-##-##
3888	14	3832	1799-##-##	1800-##-##
400	18	481	1949-##-##	1990-##-##
3744	14	3745	1846-##-##	1847-##-##
4015	14	4321	1993-##-##	1994-##-##
7736	17	7028	2007-##-##	2007-##-##
2176	6	2018	1878-##-##	####-##-##
11311	22	9916	2012-##-##	2014-##-##
1760	2	1672	1987-##-##	####-##-##
7715	20	7716	2008-##-##	2008-##-##
9705	22	9706	2011-##-##	2011-##-##
990	5	1960	2007-##-##	####-##-##
1491	1	125	1920-##-##	####-##-##
11342	22	10940	2010-##-##	2011-##-##
9385	20	7119	1929-##-##	1929-##-##
6462	17	6110	1938-##-##	1938-##-##
2396	8	2397	1929-##-##	1939-##-##
2786	15	4969	1960-##-##	####-##-##
11539	22	11045	2005-##-##	2009-##-##
5411	16	5533	2008-##-##	2008-##-##
11570	22	11145	1997-##-##	2001-##-##
1351	1	1210	####-##-##	1920-##-##
11842	22	10119	2011-##-##	2014-##-##
2786	9	2491	1962-##-##	####-##-##
1623	1	1597	2015-##-##	####-##-##
350	1	163	1790-##-##	1968-##-##
2286	17	7124	1960-##-##	1960-##-##
7585	17	6910	2012-##-##	2012-##-##
8832	17	7356	2011-##-##	2011-##-##
8592	17	7213	1998-##-##	1998-##-##
934	1	866	2015-##-##	####-##-##
11259	22	9846	2014-##-##	2015-##-##
1853	10	3009	1993-##-##	1998-##-##
636	18	791	1979-##-##	2004-##-##
1678	2	1671	1974-##-##	####-##-##
4280	14	3573	1999-##-##	2003-##-##
4684	14	3980	1940-##-##	1944-##-##
11026	22	9581	2005-##-##	2006-##-##
8272	23	12515	####-##-##	1965-##-##
309	1	314	2009-##-##	####-##-##
11290	22	11042	2012-##-##	2012-##-##
10931	22	10713	1997-##-##	2000-##-##
12335	22	10614	2002-##-##	2002-##-##
2153	6	30	1795-##-##	1917-##-##
11305	22	10456	2006-##-##	2008-##-##
12376	22	10101	2003-##-##	2005-##-##
10685	22	10077	2013-##-##	2015-##-##
11883	22	10490	2011-##-##	2012-##-##
1399	1	411	####-##-##	2016-##-##
649	1	642	1927-##-##	2005-##-##
4477	14	3963	1993-##-##	2003-##-##
7431	17	6288	2008-##-##	2008-##-##
9652	22	9633	2012-##-##	2014-##-##
8389	17	5836	1999-##-##	1999-##-##
3312	13	3255	1956-##-##	####-##-##
4157	14	4158	1411-##-##	1415-##-##
11093	22	9756	2002-##-##	2004-##-##
11502	22	9906	2012-##-##	2012-##-##
7528	17	6244	1979-##-##	1979-##-##
10206	22	9731	2001-##-##	2002-##-##
6872	17	6322	1992-##-##	1992-##-##
6922	17	6313	2017-##-##	2017-##-##
12105	22	10575	2009-##-##	2010-##-##
7623	17	5838	2015-##-##	2015-##-##
5774	16	5776	1974-##-##	1974-##-##
3404	13	3249	1966-##-##	####-##-##
11570	22	10344	1993-##-##	1996-##-##
4621	14	3456	2013-##-##	2014-##-##
8840	17	6715	1985-##-##	1985-##-##
7049	17	5890	1980-##-##	1980-##-##
2116	6	2070	1859-##-##	1866-##-##
12115	22	10104	2005-##-##	2006-##-##
12154	22	10040	2016-##-##	####-##-##
3213	12	2183	1985-##-##	2009-##-##
12479	22	10585	2006-##-##	2006-##-##
11090	22	11092	2005-##-##	2006-##-##
2330	8	2331	2000-##-##	####-##-##
2016	6	116	1801-##-##	1922-##-##
498	1	187	2015-##-##	####-##-##
12116	22	9861	2005-##-##	2006-##-##
4975	15	4971	2016-##-##	####-##-##
1457	1	155	####-##-##	2014-##-##
5370	16	5381	2010-##-##	2010-##-##
8874	17	8875	2002-##-##	2002-##-##
8481	20	9360	2005-##-##	2005-##-##
1620	1	1596	####-##-##	2014-##-##
1230	1	122	1790-##-##	1871-##-##
135	18	854	####-##-##	2015-##-##
12049	22	9969	2004-##-##	2004-##-##
4054	14	3623	1879-##-##	1923-##-##
9369	20	6328	1990-##-##	1990-##-##
5496	22	9568	1990-##-##	1997-##-##
886	1	865	####-##-##	2014-##-##
1657	1	243	####-##-##	2014-##-##
3340	13	3255	1974-##-##	####-##-##
7177	17	5898	1990-##-##	1990-##-##
11342	22	10940	2003-##-##	2004-##-##
1677	17	6959	2001-##-##	2001-##-##
6859	17	6013	1982-##-##	1982-##-##
4347	19	9150	1910-##-##	1914-##-##
2217	7	2218	1935-##-##	1940-##-##
1756	2	1672	2007-##-##	####-##-##
6243	17	6244	1849-##-##	1849-##-##
12357	22	9768	2014-##-##	2014-##-##
5763	16	5634	2013-##-##	2013-##-##
5541	17	8418	1972-##-##	1972-##-##
7086	17	6415	2012-##-##	2012-##-##
9365	20	6012	1958-##-##	1958-##-##
1635	1	1636	1230-##-##	1400-##-##
11324	22	9822	2006-##-##	2008-##-##
12292	22	11197	1992-##-##	1992-##-##
2360	17	5899	2008-##-##	2008-##-##
9021	17	9023	2004-##-##	2004-##-##
4409	14	3455	2015-##-##	2017-##-##
1718	2	1672	2000-##-##	####-##-##
1542	1	210	1968-##-##	####-##-##
2477	17	5799	1999-##-##	1999-##-##
4134	14	4135	1902-##-##	1905-##-##
2749	9	2652	2009-##-##	2012-##-##
1481	1	125	1790-##-##	1871-##-##
11028	22	11029	1994-##-##	1994-##-##
12461	22	10649	2013-##-##	2013-##-##
53	1	343	2015-##-##	####-##-##
5370	16	5396	2013-##-##	2013-##-##
7018	19	1991	####-##-##	2007-##-##
3577	14	3473	1997-##-##	2001-##-##
3171	14	3450	2005-##-##	2009-##-##
1068	1	540	####-##-##	2009-##-##
7726	17	7354	1980-##-##	1980-##-##
607	6	26	1991-##-##	####-##-##
2047	6	171	####-##-##	1945-##-##
1753	2	1671	1996-##-##	####-##-##
7821	17	5819	1970-##-##	1970-##-##
4960	14	3446	1620-##-##	1623-##-##
7218	17	6513	2014-##-##	2014-##-##
5678	16	5679	1932-##-##	1932-##-##
8957	23	2922	####-##-##	1977-##-##
